word,meaning
たまに,thi thoảng
どなたでも,誰でもvị nào cũng (kính ngữ)
〜と言います,tên là ~
ー年ー組,tổ - năm thứ -
熱を出します,bị (sốt)
よろしくあ伝えください,cho tôi gửi lời hỏi thăm
失礼致します,失礼しますxin phép thầy tôi cúp máy ạ
経歴,lí lịch
医学部,khoa y
目指します,"hướng đến, muốn trở thành"
進みます,học lên
iPS細胞,tế bào iPS
開発します,phát triển
マウス,chuột
ヒト,người
受賞します,nhận giải tưởng
講演会,buổi nói chuyện
まいります,"行きますđi, đến (khiêm nhường)"
おります,います
いただきます,"食べます、飲みます、もらいますăn, uống, nhận (khiêm nhường)"
申します,"言いますnói, tên là (khiêm nhường)"
いたします,しますlàm (khiêm nhường)
拝見します,見ますnhìn (khiêm nhường)
存じます,しりますbiết (khiêm nhường)
伺います,"聞きます、行きますhỏi, đến thăm (khiêm nhường)"
お目にかかります,あいますgặp (khiêm nhường)
コーヒーを入れます,pha (cà phê)
用意します,chuẩn bị sẵn
私,私(khiêm nhường)
ガイド,hướng dẫn viên du lịch
メールアドレス,dịa chỉ email
スケジュール,lịch làm việc
再来週,tuần sau nữa
再来月,tháng sau nữa
再来年,năm sau nữa
はじめに,"trước hết, đầu tiên"
緊張します,hồi hộp
賞金,tiền thưởng
きりん,hươu cao cổ
ころ,"lúc, thời"
夢がかないます,thành hiện thực (mơ ước ~)
応援します,động viện
心から,từ đáy lòng
感謝します,cám ơn
お礼,cám ơn
お元気でいらっしゃいますか,お元気ですかanh chị có khoẻ không(kính ngữ)
迷惑をかけます,làm phiền
生かします,phát huy
