word,meaning,example_sentences_1,meaning_example_sentences_1,example_sentences_2,meaning_example_sentences_2,image_url
〜国際,True,国際会議が開かれます。,Một hội nghị quốc tế sẽ được tổ chức.,国際的な問題について話しましょう。,Hãy nói về các vấn đề quốc tế.,https://i0.wp.com/ciscotours.com/wp-content/uploads/2020/05/%E7%A9%BA%E6%B8%AF%E5%85%A8%E4%BD%93.jpg?resize=1024%2C758&quality=89&ssl=1
水道,nước máy,水道から水を飲みます。,Tôi uống nước từ vòi nước.,水道が壊れています。,Vòi nước bị hỏng.,http://image.ayskjaj.com/acupoint/1695181554331.jpg
エンジン,động cơ,この車のエンジンはとても強いです。,Động cơ của chiếc xe này rất mạnh.,エンジンが故障したので、修理に出しました。,"Vì động cơ bị hỏng, tôi đã mang đi sửa.",https://www.amberpiece.com/content/images/harley-m-eight/01.jpg
チーム,đội,私たちのチームは優勝しました。,Đội của chúng tôi đã giành chiến thắng.,新しいチームメンバーが加わりました。,Có một thành viên mới gia nhập đội.,https://i.ytimg.com/vi/zS4r0SjyDOI/maxresdefault.jpg
今夜,tối nay,今夜は映画を見に行きます。,Tối nay tôi sẽ đi xem phim.,今夜の天気はどうですか？,Thời tiết tối nay thế nào?,https://i.ytimg.com/vi/h3G1aZgPReU/sddefault.jpg
夕方,chiều tối,夕方に友達と会います。,Chiều tối tôi sẽ gặp bạn.,夕方は涼しくなります。,Chiều tối thì trở nên mát mẻ.,https://upload.wikimedia.org/wikipedia/commons/c/ca/%E5%A4%95%E6%96%B9%E3%81%A8%E5%A4%9C%E3%81%AE%E4%B8%AD%E9%96%93%E3%81%AE%E7%A9%BA.JPG
まえ,trước,彼は私のまえに立っています。,Anh ấy đang đứng trước tôi.,まえに行ったレストランは美味しかった。,Nhà hàng mà tôi đã đi trước đây rất ngon.,https://www.thejapanesepage.com/wp-content/uploads/2022/05/1-2.png
遅く,muộn,遅くまで働くのは大変です。,Làm việc muộn thì rất vất vả.,遅くなってごめんなさい。,Xin lỗi vì đã đến muộn.,https://i.ytimg.com/vi/r2Fwo6QF00k/maxresdefault.jpg
こんなに,như thế này,こんなに美しい景色は見たことがない。,Tôi chưa bao giờ thấy cảnh đẹp như thế này.,こんなに簡単な問題は誰でも解ける。,Vấn đề dễ như thế này ai cũng có thể giải quyết.,"https://m.media-amazon.com/images/I/71zGBogb+iL._AC_UF1000,1000_QL80_.jpg"
そんなに,như thế đó,そんなに高いものは買えません。,Tôi không thể mua những thứ đắt như thế đó.,そんなに急がなくても大丈夫です。,Bạn không cần phải vội như thế đâu.,https://jlptsensei.com/wp-content/uploads/2020/01/sonna-ni-%E3%81%9D%E3%82%93%E3%81%AA%E3%81%AB-%E3%81%9D%E3%82%93%E3%81%AA%E3%81%AB-jlpt-n4-grammar-meaning-%E6%96%87%E6%B3%95-%E4%BE%8B%E6%96%87-japanese-flashcards.png
あんなに,như thế kia (những điều),あんなに大きな声で話さないでください。,Xin đừng nói to như thế kia.,あんなに遠くに行くのは大変です。,Đi xa như thế kia thì rất khó.,"https://m.media-amazon.com/images/I/61-sc3XRS4S._AC_UF1000,1000_QL80_.jpg"
ヨーロッパ,châu Âu,ヨーロッパには多くの国があります。,Châu Âu có nhiều quốc gia.,私はヨーロッパを旅行したいです。,Tôi muốn đi du lịch châu Âu.,https://i.ytimg.com/vi/_dQG7oMXoKE/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLDacs7KJcGGJJNdbF4aWj0fbFZJMg
元気,khoẻ,毎朝、元気にジョギングをしています。,"Mỗi sáng, tôi chạy bộ một cách khỏe khoắn.",彼は元気そうですね。,Anh ấy có vẻ khỏe mạnh nhỉ.,https://yt3.googleusercontent.com/7mg-RuWPHI-_-AKdElyGI705bp3e2G045dBMxVR-WQRFpQOueBsIH-aUNUldRfr0joIrGlJPd4Q=s900-c-k-c0x00ffffff-no-rj
胃,dạ dày,胃が痛いので、病院に行きました。,Tôi đã đi bệnh viện vì đau dạ dày.,彼女は胃の調子が悪いです。,Cô ấy có vấn đề về dạ dày.,https://assets.mayoclinic.org/content/dam/media/en/images/2023/02/09/stomach-and-pyloric-valve.jpg
ストレス,căng thẳng,仕事のストレスがたまっています。,Tôi đang bị căng thẳng vì công việc.,ストレスを解消するために、運動をします。,Tôi tập thể dục để giảm căng thẳng.,https://www.newtonpress.co.jp/dcms_media/image/mook-cover_230414_1-1.jpg
それはいけませんね,thế thì ko được,遅刻するのはそれはいけませんね。,Đến muộn thì không được đâu.,そんなことを言うのはそれはいけませんね。,Nói như vậy thì không được.,https://www.satsukita-office.jp/wp-content/uploads/2017/12/shinpai_ojisan.png
星占い,bói sao,毎朝、星占いをチェックします。,Tôi kiểm tra bói sao mỗi sáng.,星占いによると、今日は良い日です。,"Theo bói sao, hôm nay là một ngày tốt.",https://image.jadore-jun.jp/spinoza/entry/image/2021/12/23/61c40269de8d7_1.png
牡牛座,sao Kim ngưu,私は牡牛座です。,Tôi thuộc cung Kim Ngưu.,牡牛座の人は、安定を好むと言われています。,Người thuộc cung Kim Ngưu thường được cho là thích sự ổn định.,https://t4.ftcdn.net/jpg/01/71/00/17/360_F_171001748_o2b1rC4Vi6HDgkDSSqodvwBYLa0YA3cp.jpg
働きすぎ,làm việc quá sức,働きすぎは体に良くないです。,Làm việc quá sức không tốt cho cơ thể.,彼は働きすぎで疲れています。,Anh ấy mệt mỏi vì làm việc quá sức.,https://sanchie.net/wp-content/uploads/2023/05/pixta_80926030_M-1-min.jpg
困ります,khó khăn,お金がないと困ります。,Không có tiền thì thật khó khăn.,困りますので、助けてください。,"Tôi gặp khó khăn, xin hãy giúp tôi.",https://stickershop.line-scdn.net/stickershop/v1/product/16617708/LINEStorePC/main.png?v=1
宝くじ,vé sổ,宝くじを買いました。,Tôi đã mua vé số.,宝くじが当たったら、旅行に行きたいです。,"Nếu trúng số, tôi muốn đi du lịch.",https://www.takarakuji-official.jp/assets/img/guide/pic-howto-buy001.png
宝くじが当たります,trúng số,宝くじが当たりますように。,Mong rằng tôi sẽ trúng số.,彼は宝くじが当たったと言っています。,Anh ấy nói rằng đã trúng số.,https://www.happy-kichizokun.jp/blog/media-031/wp-content/webpc-passthru.php?src=https://www.happy-kichizokun.jp/blog/media-031/wp-content/uploads/2019/11/44d753725da0bb978e5b8f2207f5d7ff-300x232.png&nocache=1
健康,sức khoẻ,毎日運動することは健康に良いです。,Việc tập thể dục mỗi ngày tốt cho sức khoẻ.,健康診断を受けることが大切です。,Việc kiểm tra sức khoẻ là rất quan trọng.,https://nutritionsource.hsph.harvard.edu/wp-content/uploads/2014/11/Chinese_Simplified_HEP_July20141.jpg
恋愛,tình yêu,恋愛は時々難しいですが、楽しいです。,Tình yêu đôi khi khó khăn nhưng cũng rất vui.,彼女との恋愛は特別な思い出です。,Tình yêu với cô ấy là những kỷ niệm đặc biệt.,https://image.p-c2-x.abema-tv.com/image/programs/90-1739_s10_p1/thumb002.png?background=000000&fit=fill&height=432&quality=75&version=1695377636&width=768
恋人,người yêu,私の恋人はとても優しいです。,Người yêu của tôi rất tốt bụng.,彼は私の初めての恋人です。,Anh ấy là người yêu đầu tiên của tôi.,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/a4/bb/60/caption.jpg?w=900&h=500&s=1
ラッキーアイテム,thức được cho làm đem lại vận may trong bói toán,このペンダントは私のラッキーアイテムです。,Chiếc vòng cổ này là vật đem lại vận may cho tôi.,ラッキーアイテムを持っていると、運が良くなる気がします。,"Tôi cảm thấy nếu có vật đem lại vận may, thì sẽ gặp nhiều may mắn.",https://as1.ftcdn.net/v2/jpg/01/19/59/06/1000_F_119590688_w8OS0xV26G70m2GP6uW83AJAVr1RrsYe.jpg
石,hòn đá,公園で大きな石を見つけました。,Tôi đã tìm thấy một hòn đá lớn trong công viên.,この石はとても重いです。,Hòn đá này rất nặng.,https://p3.img.cctvpic.com/photoworkspace/contentimg/2023/09/21/2023092112305497258.jpg
逃げます,trốn,彼は犬から逃げました。,Anh ấy đã trốn khỏi con chó.,危険な状況から逃げることが大切です。,Việc trốn khỏi tình huống nguy hiểm là rất quan trọng.,https://nihongopic.com/wp-content/uploads/2019/09/f76ee64fd5e4a08426a51b478a8f1693.png
騒ぎます,làm ồn,子供たちが公園で騒いでいます。,Bọn trẻ đang làm ồn trong công viên.,パーティーで騒ぎすぎないようにしましょう。,Hãy cố gắng không làm ồn quá mức trong bữa tiệc.,https://www.tanoshiijapanese.com/dictionary/entry_preview/5/38752/51295.png
諦めます,bỏ cuộc,難しい問題でも諦めないでください。,"Dù vấn đề khó khăn, hãy đừng bỏ cuộc.",彼は夢を諦めませんでした。,Anh ấy đã không bỏ cuộc với ước mơ của mình.,https://www.tanoshiijapanese.com/dictionary/entry_preview/5/42043/55069.png
投げます,ném,ボールを遠くに投げました。,Tôi đã ném bóng đi xa.,彼女は石を湖に投げました。,Cô ấy đã ném hòn đá xuống hồ.,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/%E6%8A%95%E3%81%92%E3%81%BE%E3%81%99_%2831879540%29.jpg/1200px-%E6%8A%95%E3%81%92%E3%81%BE%E3%81%99_%2831879540%29.jpg
守ります,giữ (lời hứa) tuân thủ (quy tắc),約束を守ることは大切です。,Giữ lời hứa là rất quan trọng.,ルールを守って遊びましょう。,Hãy chơi theo quy tắc.,https://www.tanoshiijapanese.com/dictionary/entry_preview/5/31320/42616.png
式が始まります,bắt đầu (lễ),結婚式が午後2時に始まります。,Lễ cưới sẽ bắt đầu lúc 2 giờ chiều.,式が始まる前に、みんなが集まります。,"Trước khi lễ bắt đầu, mọi người sẽ tập trung lại.",https://www.keiwa-c.ac.jp/wp2021/wp-content/uploads/2023/03/8f32085fee7449f3006700ff6cdb5667-scaled.jpg
会議に出席します,tham dự (họp）,明日の会議に出席しますか？,Bạn có tham dự cuộc họp ngày mai không?,彼は会議に出席するために早く来ました。,Anh ấy đến sớm để tham dự cuộc họp.,https://previews.123rf.com/images/torkk/torkk1608/torkk160800135/62620837-%E3%82%AA%E3%83%95%E3%82%A3%E3%82%B9%E3%81%A7%E4%BC%9A%E8%AD%B0%E3%81%AB%E5%87%BA%E5%B8%AD%E3%80%82%E3%83%99%E3%82%AF%E3%83%88%E3%83%AB.jpg
伝えます,nói lại,彼にメッセージを伝えます。,Tôi sẽ nói lại tin nhắn cho anh ấy.,この情報をみんなに伝えます。,Tôi sẽ nói lại thông tin này cho mọi người.,https://www.tanoshiijapanese.com/dictionary/entry_preview/5/42546/55635.png
車に注意します,chú ý (xe ô tô),道を渡るときは車に注意してください。,"Khi băng qua đường, hãy chú ý đến xe ô tô.",運転中は常に車に注意します。,"Trong khi lái xe, tôi luôn chú ý đến xe ô tô.",https://www.city.sumida.lg.jp/kosodate_kyouiku/kosodate_site/kosodate_qa/syugakutyokuzenki/anzenishiki.images/S36.jpg
席を外します,rời (ghế),少しの間、席を外します。,Tôi sẽ rời ghế một chút.,会議中に席を外すことはできません。,"Trong cuộc họp, không thể rời ghế.",https://nihongopic.com/wp-content/uploads/2019/08/3f07693addf0e4239095043d880c1977.png
戻ります,trở lại,すぐに戻りますので、待っていてください。,"Tôi sẽ trở lại ngay, hãy chờ một chút.",彼は仕事が終わったら戻ります。,Anh ấy sẽ trở lại sau khi công việc kết thúc.,https://honki.vn/storage/lesson/basic2/v4/lesson_30/picture/modorimasu.jpg
電話があります,có điện thoại,あなたに電話がありますよ。,Có điện thoại cho bạn.,会議中に電話があります。,Có điện thoại trong cuộc họp.,https://www.ymobile.jp/sp/guide/article32/1.jpg
リサイクルします,tái chế,私たちはプラスチックをリサイクルします。,Chúng tôi tái chế nhựa.,リサイクルすることで環境を守ります。,"Bằng cách tái chế, chúng ta bảo vệ môi trường.",https://previews.123rf.com/images/yupiramos/yupiramos1706/yupiramos170625420/80759501-%E7%9F%A2%E5%8D%B0%E3%82%B7%E3%83%B3%E3%83%9C%E3%83%AB-%E3%82%A2%E3%82%A4%E3%82%B3%E3%83%B3-%E3%83%99%E3%82%AF%E3%83%88%E3%83%AB-%E3%82%A4%E3%83%A9%E3%82%B9%E3%83%88-%E3%83%87%E3%82%B6%E3%82%A4%E3%83%B3%E3%82%92%E3%83%AA%E3%82%B5%E3%82%A4%E3%82%AF%E3%83%AB%E3%81%97%E3%81%BE%E3%81%99%E3%80%82.jpg
だめ（な）,không được,ここで喫煙するのはだめです。,Hút thuốc ở đây là không được.,遅刻するのはだめです。,Đến muộn là không được.,https://tblg.k-img.com/resize/640x360c/restaurant/images/Rvw/247755/f2c0f1fd8af8fc6fdf7d25231b3bfeef.jpg?token=79338a8&api=v2
同じ,giống,私たちは同じ趣味を持っています。,Chúng tôi có sở thích giống nhau.,この二つの絵は同じです。,Hai bức tranh này là giống nhau.,https://i.ytimg.com/vi/8oCovnYXFrY/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLD-edcCuq_j46unmZvO23ND6PIxKA
警察,đồn cảnh sát,警察に行って、事件を報告しました。,Tôi đã đến đồn cảnh sát để báo cáo vụ việc.,近くの警察署は、24時間営業しています。,Đồn cảnh sát gần đây mở cửa 24 giờ.,https://cityoflakewood.us/wp-content/uploads/2023/09/DSC08053-scaled.jpg
席,ghế,この席は私のです。,Ghế này là của tôi.,会議の席はすでに埋まっています。,Chỗ ngồi trong cuộc họp đã đầy.,https://kanji.jitenon.jp/shotai3/547.gif
マーク,kí hiệu,このマークは安全を示しています。,Kí hiệu này chỉ ra sự an toàn.,新しいマークが製品に追加されました。,Kí hiệu mới đã được thêm vào sản phẩm.,https://www.jipdec.or.jp/project/u71kba0000000bc1-img/pmark.jpg
ボール,bóng,サッカーのボールを買いました。,Tôi đã mua một quả bóng đá.,子供たちは公園でボールを蹴っています。,Trẻ em đang đá bóng ở công viên.,https://i.ytimg.com/vi/R1N3yphxEqk/maxresdefault.jpg
締切,hạn chót,レポートの締切は来週です。,Hạn chót nộp báo cáo là tuần tới.,締切を守ることが大切です。,Việc tuân thủ hạn chót là rất quan trọng.,https://d35n75zpqqqtvn.cloudfront.net/img/goods/L/4066206043.jpg
規則,quy tắc,学校には多くの規則があります。,Trường học có nhiều quy tắc.,規則を守らないと罰せられます。,"Nếu không tuân thủ quy tắc, bạn sẽ bị phạt.",https://thumbs.dreamstime.com/z/%E4%B8%BE%E8%A1%8C%E8%A7%84%E5%88%99%E7%9A%84%E4%BA%BA-38948498.jpg
危険,nguy hiểm,その場所は危険ですから、近づかないでください。,"Nơi đó rất nguy hiểm, vì vậy hãy không lại gần.",危険な運転は絶対にやめてください。,Lái xe nguy hiểm thì tuyệt đối không nên làm.,https://as2.ftcdn.net/v2/jpg/05/36/89/11/1000_F_536891178_uzBz9fDFsDs2skvaLbYwYwdBI3vjaUTb.jpg
使用禁止,cấm sử dụng,このエリアは使用禁止です。,Khu vực này cấm sử dụng.,使用禁止のサインが掲示されています。,Có biển cấm sử dụng được treo lên.,https://upload.wikimedia.org/wikipedia/commons/5/58/%E3%83%89%E3%83%AD%E3%83%BC%E3%83%B3%E4%BD%BF%E7%94%A8%E7%A6%81%E6%AD%A2_%2819015503991%29.jpg
立入禁止,cấm vào,ここは立入禁止です。,Đây là khu vực cấm vào.,立入禁止の場所には注意してください。,Xin hãy chú ý đến những nơi cấm vào.,https://as1.ftcdn.net/v2/jpg/01/97/46/12/1000_F_197461262_OHGC8G1rfVvb3wCBxmTOdolk1dU5BV8Q.jpg
徐行,chạy chậm,この道では徐行運転が必要です。,Trên con đường này cần phải chạy chậm.,徐行している車が見えます。,Có một chiếc xe đang chạy chậm.,https://t3.ftcdn.net/jpg/04/75/00/74/360_F_475007430_Xb0drKRC1zLvWyRhwPtdpDHbVl2osrKP.jpg
入口,lối vào,この建物の入口はどこですか？,Cửa vào của tòa nhà này ở đâu?,入口でチケットを見せてください。,Xin hãy cho tôi xem vé ở lối vào.,https://gw.alicdn.com/imgextra/i4/2201512830807/O1CN01ognae21HpeQbOcN3c_!!2-item_pic.png_.webp
出口,lối ra,出口はあちらです。,Lối ra ở phía kia.,出口を間違えないでください。,Xin đừng nhầm lẫn lối ra.,https://static01.nyt.com/images/2023/08/08/multimedia/08china-exports-jbhm/08china-exports-jbhm-master1050.jpg
非常口,cửa thoát hiểm,非常口はここにあります。,Cửa thoát hiểm ở đây.,非常口を確認しておいてください。,Hãy kiểm tra cửa thoát hiểm.,https://t4.ftcdn.net/jpg/05/77/55/53/360_F_577555335_GgdCbn4uoMVuY3UUZJqKvYJMcUbLDbCc.jpg
無料,miễn phí,このサービスは無料です。,Dịch vụ này là miễn phí.,無料のサンプルをもらいました。,Tôi đã nhận được mẫu miễn phí.,https://kimini.online/blog/wp-content/uploads/2022/11/pixta_24693216_M-1200x675.jpg
割引,giảm giá,この商品は割引中です。,Sản phẩm này đang được giảm giá.,割引券を使ってください。,Hãy sử dụng phiếu giảm giá.,https://store.arc.jp/media/catalog/product/cache/3728333a91fed02c84050092cf7183a0/image/48920d62/lqt0003s.png
飲み放題,buffet nước,このレストランは飲み放題です。,Nhà hàng này có buffet nước.,飲み放題のプランを選びました。,Tôi đã chọn gói buffet nước.,https://www.pub-hub.com/uploads/shop/slide/30/27903_1.jpg
使用中,đang sử dụng,そのトイレは使用中です。,Nhà vệ sinh đó đang được sử dụng.,このコンピュータは使用中です。,Máy tính này đang được sử dụng.,https://thumb.ac-illust.com/bd/bd7eb55ee562c0843ea824bff083ebaa_t.jpeg
募集中,đang tuyển,新しいスタッフを募集中です。,Chúng tôi đang tuyển nhân viên mới.,この会社はインターンを募集中です。,Công ty này đang tuyển thực tập sinh.,https://lds-img.finalfantasyxiv.com/accimg2/ea/48/ea48941c81b1364ee7efbce2b24724721cf5ecfa.gif
〜中,đang~,今、勉強中です。,Bây giờ tôi đang học.,彼は仕事中です。,Anh ấy đang làm việc.,https://upload.wikimedia.org/wikipedia/commons/8/8a/%E4%B8%AD-order.gif
どういう〜,~như thế nào,どういう意味ですか？,Nó có nghĩa là gì?,どういう状況ですか？,Tình huống như thế nào?,https://static.wikia.nocookie.net/vocaloid/images/2/28/Doiu.jpeg/revision/latest?cb=20131212023217
いくら（〜ても）,(dù có) ~ bao nhiêu đi nữa,いくらお金があっても、幸せにはなれない。,"Dù có bao nhiêu tiền đi nữa, cũng không thể hạnh phúc được.",いくら頑張っても、結果が出ないこともある。,"Dù có cố gắng bao nhiêu đi nữa, cũng có lúc không có kết quả.",https://jlptsensei.com/wp-content/uploads/2020/02/ikuratemo-%E3%81%84%E3%81%8F%E3%82%89%EF%BD%9E%E3%81%A6%E3%82%82-jlpt-n3-grammar-meaning-%E6%96%87%E6%B3%95-%E4%BE%8B%E6%96%87-japanese-flashcards.png
もう,nữa (dùng với thể phủ định),もう行かないと言ったのに、また来た。,"Tôi đã nói là không đi nữa, vậy mà lại đến lần nữa.",もう食べたくない。お腹がいっぱいだ。,Tôi không muốn ăn nữa. Tôi đã no rồi.,https://i.ytimg.com/vi/v6ILu9Ny2DQ/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLDc_Pn8cOfmXpJaClKXu4WKajsWiA
後〜,còn ~,後三日で試験がある。,Còn ba ngày nữa là có kỳ thi.,後一杯で終わりです。,Còn một ly nữa là xong.,https://kanji.jitenon.jp/shotai3/125.gif
〜ほど,khoảng ~,彼は一時間ほど待った。,Anh ấy đã chờ khoảng một tiếng.,この本は三千円ほどします。,Cuốn sách này khoảng ba nghìn yên.,https://jlptsensei.com/wp-content/uploads/2015/07/hodo-%E3%81%BB%E3%81%A9-jlpt-n3-grammar-meaning-%E6%96%87%E6%B3%95-%E4%BE%8B%E6%96%87-japanese-flashcards.png
駐車違反,đỗ xe sai quy định,駐車違反で罰金を払った。,Tôi đã phải trả tiền phạt vì đỗ xe sai quy định.,駐車違反が多い場所では注意が必要です。,"Ở những nơi có nhiều vi phạm đỗ xe, cần phải cẩn thận.",https://nikkansan.net/wp-content/uploads/20240214_barnacleparking-768x477.jpg
罰金,tiền phạt,罰金を払わなければならない。,Tôi phải trả tiền phạt.,彼は罰金を受け取った。,Anh ấy đã nhận tiền phạt.,https://www.legis-pedia.com/uploads/user/193/20220908/m_13807398506319c20ad462d8.01979808.jpg
地震,động đất,昨夜、大きな地震があった。,Tối qua có một trận động đất lớn.,地震の時は、机の下に隠れてください。,"Khi có động đất, hãy trốn dưới bàn.",https://static01.nyt.com/images/2025/01/07/multimedia/07china-quake-klht/07china-quake-klht-master1050.jpg
起きます,xảy ra,事故が起きた。,Một vụ tai nạn đã xảy ra.,明日、大きなイベントが起きます。,Ngày mai sẽ có một sự kiện lớn xảy ra.,https://www.tanoshiijapanese.com/dictionary/entry_preview/5/21211/30720.png
助け合います,giúp đỡ lẫn nhau,私たちは助け合って生活しています。,Chúng tôi sống bằng cách giúp đỡ lẫn nhau.,困った時は助け合いましょう。,"Khi gặp khó khăn, hãy giúp đỡ lẫn nhau.",https://media.gettyimages.com/id/2114194800/ja/%E3%83%99%E3%82%AF%E3%82%BF%E3%83%BC/%E3%83%93%E3%82%B8%E3%83%8D%E3%82%B9%E3%83%81%E3%83%BC%E3%83%A0%E3%82%AF%E3%83%A9%E3%82%A4%E3%83%9F%E3%83%B3%E3%82%B0%E3%83%AA%E3%83%BC%E3%83%80%E3%83%BC%E3%82%B7%E3%83%83%E3%83%97%E6%88%90%E9%95%B7%E5%9B%A3%E7%B5%90%E3%83%93%E3%82%B8%E3%83%8D%E3%82%B9%E3%83%91%E3%83%BC%E3%82%BD%E3%83%B3%E3%81%AF%E7%9B%AE%E6%A8%99%E3%81%AB%E5%90%91%E3%81%8B%E3%81%A3%E3%81%A6%E3%82%88%E3%82%8A%E9%AB%98%E3%81%8F%E7%99%BB%E3%82%8B%E3%81%9F%E3%82%81%E3%81%AB%E4%BA%92%E3%81%84%E3%81%AB%E5%8A%A9%E3%81%91%E5%90%88%E3%81%84%E3%81%BE%E3%81%99%E3%83%93%E3%82%B8%E3%83%8D%E3%82%B9%E6%88%A6%E7%95%A5%E3%82%BD%E3%83%AA%E3%83%A5%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%B8%E3%81%AE%E6%89%89%E3%82%92%E9%96%8B%E3%81%8F.jpg?s=612x612&w=gi&k=20&c=MYi__XAeFrr6uD_z5MxEltZDoEwcGnvmrBQ6SdhtkCk=
元々,vốn là,彼は元々この町の出身です。,Anh ấy vốn là người ở thành phố này.,元々、私はこの仕事が好きでした。,"Vốn dĩ, tôi đã thích công việc này.",https://www.tanoshiijapanese.com/dictionary/entry_preview/1/58434/209486.png
悲しい,buồn,彼女は映画を見て悲しい気持ちになりました。,Cô ấy cảm thấy buồn khi xem phim.,悲しい時は友達に話すといいです。,"Khi buồn, nói chuyện với bạn bè là tốt.",https://musescore.com/static/musescore/scoredata/g/f186ed5c298d454c4d39871733c4b1c97e219181/score_0.svg?no-cache=1715701718
もっと,hơn,もっと勉強しなければなりません。,Tôi phải học nhiều hơn.,もっとおいしい料理を食べたいです。,Tôi muốn ăn món ăn ngon hơn.,https://www.tanoshiijapanese.com/dictionary/entry_preview/1/1176/7677.png
挨拶をします,chào hỏi,朝、先生に挨拶をしました。,"Sáng nay, tôi đã chào hỏi giáo viên.",友達に会ったら、挨拶をします。,"Khi gặp bạn bè, tôi chào hỏi.",https://lvimg.jp/jobshil/cdn1/OVsrnI8SRiaiLHRRgJ6M
相手,đối phương,相手の意見を尊重しましょう。,Hãy tôn trọng ý kiến của đối phương.,試合では相手チームが強かったです。,"Trong trận đấu, đội đối phương rất mạnh.",https://ichef.bbci.co.uk/ace/ws/640/cpsprodpb/ce09/live/5cb258a0-e27f-11ee-9410-0f893255c2a0.jpg.webp
気持ち,tâm trạng,今日は気持ちがいいです。,Hôm nay tôi cảm thấy thoải mái.,彼の気持ちを理解したいです。,Tôi muốn hiểu tâm trạng của anh ấy.,https://yanchawork.com/wp-content/uploads/2020/01/kimochi_card02.jpeg
歯を磨きます,đánh răng,毎晩、歯を磨きます。,Tôi đánh răng mỗi tối.,朝起きたら、まず歯を磨きます。,"Khi thức dậy vào buổi sáng, tôi đánh răng trước tiên.",https://www.tanimurashika.jp/wordpress/wp-content/uploads/2022/04/@ha_hamigaki_girl.jpg
組み立てます,lắp ráp,この家具を組み立てるのは簡単です。,Lắp ráp đồ nội thất này rất dễ.,子供と一緒におもちゃを組み立てました。,Tôi đã lắp ráp đồ chơi cùng với trẻ con.,https://www.tanoshiijapanese.com/dictionary/entry_preview/5/38217/50664.png
折ります,gập,紙を半分に折ります。,Tôi gập giấy lại làm đôi.,服を折って、クローゼットに入れます。,Tôi gập quần áo và cho vào tủ.,https://www.tanoshiijapanese.com/dictionary/entry_preview/5/37067/49338.png
忘れ物に気がつきます,để ý đến,家を出る前に、忘れ物に気がつきました。,"Trước khi ra khỏi nhà, tôi đã để ý đến đồ quên.",学校で忘れ物に気がついたら、すぐに取りに行きます。,"Nếu tôi để ý đến đồ quên ở trường, tôi sẽ đi lấy ngay.",https://nihongopic.com/wp-content/uploads/2019/09/9e264578939cba75d4d81da747394f45.png
しょうゆをつけます,chấm xì dầu,寿司をしょうゆをつけて食べます。,Tôi ăn sushi với xì dầu.,餃子をしょうゆをつけて食べるのが好きです。,Tôi thích ăn bánh bao với xì dầu.,https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=3718267411617391
かぎが見つかります,tìm thấy (chìa khoá),私のかぎが見つかりました。,Chìa khoá của tôi đã được tìm thấy.,彼はかぎを見つけるのに時間がかかりました。,Anh ấy mất thời gian để tìm chìa khoá.,https://commtableau.my.site.com/sfc/servlet.shepherd/version/renditionDownload?rendition=THUMB720BY480&versionId=0688b00000Xkglh&operationContext=CHATTER&contentId=05T8b00001ltE2W&page=0
質問します,hỏi,先生に質問します。,Tôi sẽ hỏi giáo viên.,彼女はいつも質問します。,Cô ấy luôn luôn hỏi.,https://nihongopic.com/wp-content/uploads/2019/09/c36f183dac74cdb43509d60fffe9f68b.png
傘をさします,che (ô),雨が降ってきたので、傘をさしました。,"Trời bắt đầu mưa, nên tôi đã che ô.",彼は傘をさして歩いています。,Anh ấy đang đi bộ với ô.,https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=753370564830160
スポッツクラブ,câu lạc bộ thể thao,私はスポッツクラブに入っています。,Tôi tham gia câu lạc bộ thể thao.,スポッツクラブで友達ができました。,Tôi đã kết bạn ở câu lạc bộ thể thao.,https://www.holiday-sc.jp/sp/img/share/mainV/info/kengaku_202301.png
（お）城,thành,お城を見に行きました。,Tôi đã đi xem thành.,このお城はとても美しいです。,Thành này rất đẹp.,https://assets.st-note.com/production/uploads/images/16142120/picture_pc_8a56d555cad6b6fe5b6d9f99c2b78d4f.jpg?width=1200
説明書,sách hướng dẫn,この説明書を読んでください。,Xin hãy đọc sách hướng dẫn này.,説明書がわかりやすいです。,Sách hướng dẫn rất dễ hiểu.,https://www2.lighting-daiko.co.jp/support/manual/img/manual_img.png
図,hình vẽ minh hoa,この図を見てください。,Xin hãy nhìn vào hình vẽ này.,図が説明を助けます。,Hình vẽ giúp giải thích.,https://www.mof.go.jp/about_mof/introduction/organization/organization_chart_2.jpg
線,đường kẻ,この線を引いてください。,Xin hãy vẽ đường kẻ này.,線がまっすぐです。,Đường kẻ thẳng.,https://static01.nyt.com/images/2023/12/04/multimedia/00newworld-darien-vfqb/00newworld-darien-vfqb-master1050.jpg
